Date,Symbol,Order,Shares
2008-02-25,IBM,SELL,100
2008-03-27,IBM,SELL,0
2008-04-16,IBM,SELL,100
2008-05-21,IBM,SELL,0
2008-06-27,IBM,BUY,100
2008-07-08,IBM,SELL,0
2008-07-18,IBM,SELL,100
2008-08-11,IBM,SELL,0
2008-08-18,IBM,BUY,100
2008-09-19,IBM,SELL,0
2008-10-01,IBM,BUY,100
2008-10-31,IBM,SELL,0
2008-11-20,IBM,BUY,100
2008-12-05,IBM,SELL,0
2009-01-02,IBM,SELL,100
2009-01-14,IBM,SELL,0
2009-01-21,IBM,SELL,100
2009-02-17,IBM,SELL,0
2009-02-23,IBM,BUY,100
2009-02-27,IBM,SELL,0
2009-03-23,IBM,SELL,100
2009-05-08,IBM,SELL,0
2009-06-01,IBM,SELL,100
2009-06-19,IBM,SELL,0
2009-07-02,IBM,BUY,100
2009-07-15,IBM,SELL,0
2009-07-16,IBM,SELL,100
2009-08-17,IBM,SELL,0
2009-09-01,IBM,BUY,100
2009-09-14,IBM,SELL,0
2009-09-16,IBM,SELL,100
2009-09-29,IBM,SELL,0
2009-10-09,IBM,SELL,100
2009-10-16,IBM,SELL,0
2009-12-10,IBM,SELL,100
2009-12-17,IBM,SELL,0
2009-12-28,IBM,SELL,100
