Date,Symbol,Order,Shares
2008-01-02,IBM,BUY,100
2008-01-03,IBM,SELL,200
2008-01-09,IBM,BUY,200
2008-01-11,IBM,SELL,200
2008-01-14,IBM,BUY,200
2008-01-16,IBM,SELL,200
2008-01-18,IBM,BUY,200
2008-01-22,IBM,SELL,200
2008-01-23,IBM,BUY,200
2008-01-25,IBM,SELL,200
2008-01-29,IBM,BUY,200
2008-02-04,IBM,SELL,200
2008-02-08,IBM,BUY,200
2008-02-14,IBM,SELL,200
2008-02-20,IBM,BUY,200
2008-02-28,IBM,SELL,200
2008-03-04,IBM,BUY,200
2008-03-06,IBM,SELL,200
2008-03-10,IBM,BUY,200
2008-03-13,IBM,SELL,200
2008-03-18,IBM,BUY,200
2008-03-25,IBM,SELL,200
2008-03-31,IBM,BUY,200
2008-04-02,IBM,SELL,200
2008-04-07,IBM,BUY,200
2008-04-11,IBM,SELL,200
2008-04-15,IBM,BUY,200
2008-04-21,IBM,SELL,200
2008-04-24,IBM,BUY,200
2008-04-25,IBM,SELL,200
2008-04-29,IBM,BUY,200
2008-04-30,IBM,SELL,200
2008-05-01,IBM,BUY,200
2008-05-05,IBM,SELL,200
2008-05-07,IBM,BUY,200
2008-05-09,IBM,SELL,200
2008-05-12,IBM,BUY,200
2008-05-16,IBM,SELL,200
2008-05-22,IBM,BUY,200
2008-05-30,IBM,SELL,200
2008-06-04,IBM,BUY,200
2008-06-06,IBM,SELL,200
2008-06-10,IBM,BUY,200
2008-06-11,IBM,SELL,200
2008-06-13,IBM,BUY,200
2008-06-17,IBM,SELL,200
2008-06-19,IBM,BUY,200
2008-06-20,IBM,SELL,200
2008-06-23,IBM,BUY,200
2008-06-26,IBM,SELL,200
2008-07-01,IBM,BUY,200
2008-07-09,IBM,SELL,200
2008-07-10,IBM,BUY,200
2008-07-11,IBM,SELL,200
2008-07-15,IBM,BUY,200
2008-07-21,IBM,SELL,200
2008-07-24,IBM,BUY,200
2008-07-25,IBM,SELL,200
2008-07-29,IBM,BUY,200
2008-08-01,IBM,SELL,200
2008-08-05,IBM,BUY,200
2008-08-08,IBM,SELL,200
2008-08-13,IBM,BUY,200
2008-08-18,IBM,SELL,200
2008-08-21,IBM,BUY,200
2008-08-25,IBM,SELL,200
2008-08-27,IBM,BUY,200
2008-08-29,IBM,SELL,200
2008-09-08,IBM,BUY,200
2008-09-09,IBM,SELL,200
2008-09-10,IBM,BUY,200
2008-09-12,IBM,SELL,200
2008-09-18,IBM,BUY,200
2008-09-22,IBM,SELL,200
2008-09-25,IBM,BUY,200
2008-09-29,IBM,SELL,200
2008-10-10,IBM,BUY,200
2008-10-15,IBM,SELL,200
2008-10-20,IBM,BUY,200
2008-10-21,IBM,SELL,200
2008-10-28,IBM,BUY,200
2008-11-03,IBM,SELL,200
2008-11-07,IBM,BUY,200
2008-11-11,IBM,SELL,200
2008-11-13,IBM,BUY,200
2008-11-14,IBM,SELL,200
2008-11-18,IBM,BUY,200
2008-11-19,IBM,SELL,200
2008-11-21,IBM,BUY,200
2008-11-26,IBM,SELL,200
