Date,Order,Shares,Symbol
2010-01-29,BUY,100.0,ML4T-399
2010-02-08,SELL,200.0,ML4T-399
2010-02-18,BUY,200.0,ML4T-399
2010-03-02,SELL,200.0,ML4T-399
2010-03-11,BUY,100.0,ML4T-399
2010-03-12,BUY,100.0,ML4T-399
2010-03-23,SELL,200.0,ML4T-399
2010-04-01,BUY,100.0,ML4T-399
2010-04-05,BUY,100.0,ML4T-399
2010-04-14,SELL,200.0,ML4T-399
2010-04-26,BUY,200.0,ML4T-399
2010-05-05,SELL,200.0,ML4T-399
2010-05-17,BUY,200.0,ML4T-399
2010-05-26,SELL,100.0,ML4T-399
2010-05-27,SELL,100.0,ML4T-399
2010-06-08,BUY,200.0,ML4T-399
2010-06-17,SELL,100.0,ML4T-399
2010-06-18,SELL,100.0,ML4T-399
2010-06-29,BUY,200.0,ML4T-399
2010-07-12,SELL,200.0,ML4T-399
2010-07-21,BUY,200.0,ML4T-399
2010-08-02,SELL,200.0,ML4T-399
2010-08-11,BUY,200.0,ML4T-399
2010-08-23,SELL,200.0,ML4T-399
2010-09-01,BUY,100.0,ML4T-399
2010-09-02,BUY,100.0,ML4T-399
2010-09-14,SELL,200.0,ML4T-399
2010-09-23,BUY,100.0,ML4T-399
2010-09-24,BUY,100.0,ML4T-399
2010-10-05,SELL,200.0,ML4T-399
2010-10-15,BUY,200.0,ML4T-399
2010-10-26,SELL,200.0,ML4T-399
2010-11-05,BUY,200.0,ML4T-399
2010-11-16,SELL,100.0,ML4T-399
2010-11-17,SELL,100.0,ML4T-399
2010-11-29,BUY,200.0,ML4T-399
2010-12-08,SELL,100.0,ML4T-399
2010-12-09,SELL,100.0,ML4T-399
2010-12-20,BUY,200.0,ML4T-399
