Date,Order,Shares,Symbol
2008-01-29,SELL,100.0,IBM
2008-01-30,BUY,100.0,IBM
2008-01-31,SELL,100.0,IBM
2008-02-05,BUY,100.0,IBM
2008-02-06,BUY,100.0,IBM
2008-02-13,SELL,200.0,IBM
2008-02-14,BUY,200.0,IBM
2008-02-21,SELL,100.0,IBM
2008-02-22,BUY,100.0,IBM
2008-02-25,SELL,100.0,IBM
2008-02-26,BUY,100.0,IBM
2008-02-27,SELL,200.0,IBM
2008-02-29,BUY,100.0,IBM
2008-03-05,BUY,100.0,IBM
2008-03-07,SELL,100.0,IBM
2008-03-10,BUY,100.0,IBM
2008-03-11,SELL,100.0,IBM
2008-03-13,SELL,100.0,IBM
2008-03-14,BUY,200.0,IBM
2008-03-18,SELL,200.0,IBM
2008-03-19,BUY,100.0,IBM
2008-03-24,SELL,100.0,IBM
2008-03-25,BUY,200.0,IBM
2008-03-26,SELL,100.0,IBM
2008-03-27,BUY,100.0,IBM
2008-04-01,SELL,100.0,IBM
2008-04-03,BUY,100.0,IBM
2008-04-08,SELL,100.0,IBM
2008-04-09,BUY,100.0,IBM
2008-04-16,SELL,100.0,IBM
2008-04-17,SELL,100.0,IBM
2008-04-18,BUY,200.0,IBM
2008-04-21,SELL,200.0,IBM
2008-04-24,BUY,100.0,IBM
2008-04-25,BUY,100.0,IBM
2008-04-28,SELL,200.0,IBM
2008-04-29,BUY,200.0,IBM
2008-04-30,SELL,100.0,IBM
2008-05-05,BUY,100.0,IBM
2008-05-06,SELL,100.0,IBM
2008-05-13,SELL,100.0,IBM
2008-05-19,BUY,100.0,IBM
2008-05-21,BUY,100.0,IBM
2008-05-23,SELL,100.0,IBM
2008-06-03,SELL,100.0,IBM
2008-06-06,BUY,200.0,IBM
2008-06-09,SELL,100.0,IBM
2008-06-12,SELL,100.0,IBM
2008-06-13,BUY,200.0,IBM
2008-06-16,SELL,200.0,IBM
2008-06-18,BUY,100.0,IBM
2008-06-23,SELL,100.0,IBM
2008-06-26,BUY,100.0,IBM
2008-06-30,SELL,100.0,IBM
2008-07-01,BUY,200.0,IBM
2008-07-07,SELL,100.0,IBM
2008-07-08,BUY,100.0,IBM
2008-07-09,SELL,100.0,IBM
2008-07-10,BUY,100.0,IBM
2008-07-15,SELL,100.0,IBM
2008-07-18,SELL,100.0,IBM
2008-07-25,BUY,200.0,IBM
2008-07-28,SELL,200.0,IBM
2008-07-30,BUY,200.0,IBM
2008-07-31,SELL,200.0,IBM
2008-08-01,BUY,200.0,IBM
2008-08-05,SELL,200.0,IBM
2008-08-07,BUY,100.0,IBM
2008-08-25,BUY,100.0,IBM
2008-08-27,SELL,100.0,IBM
2008-08-28,BUY,100.0,IBM
2008-08-29,SELL,200.0,IBM
2008-09-02,BUY,100.0,IBM
2008-09-03,BUY,100.0,IBM
2008-09-04,SELL,200.0,IBM
2008-09-05,BUY,200.0,IBM
2008-09-08,SELL,100.0,IBM
2008-09-10,SELL,100.0,IBM
2008-09-15,BUY,100.0,IBM
2008-09-16,SELL,100.0,IBM
2008-09-17,BUY,200.0,IBM
2008-09-22,SELL,200.0,IBM
2008-09-23,BUY,100.0,IBM
2008-09-24,SELL,100.0,IBM
2008-10-07,BUY,200.0,IBM
2008-10-08,SELL,100.0,IBM
2008-10-09,BUY,100.0,IBM
2008-10-14,SELL,200.0,IBM
2008-10-21,BUY,100.0,IBM
2008-10-23,BUY,100.0,IBM
2008-10-29,SELL,200.0,IBM
2008-11-14,BUY,100.0,IBM
2008-11-17,BUY,100.0,IBM
2008-11-20,SELL,200.0,IBM
2008-11-21,BUY,200.0,IBM
2008-11-26,SELL,200.0,IBM
2008-12-01,BUY,200.0,IBM
2008-12-02,SELL,200.0,IBM
2008-12-04,BUY,200.0,IBM
2008-12-08,SELL,100.0,IBM
2008-12-09,SELL,100.0,IBM
2008-12-10,BUY,200.0,IBM
2008-12-11,SELL,100.0,IBM
2008-12-12,SELL,100.0,IBM
2008-12-15,BUY,100.0,IBM
2008-12-16,SELL,100.0,IBM
2008-12-22,BUY,200.0,IBM
2009-01-02,SELL,100.0,IBM
2009-01-05,BUY,100.0,IBM
2009-01-06,SELL,100.0,IBM
2009-01-07,SELL,100.0,IBM
2009-01-08,BUY,100.0,IBM
2009-01-09,BUY,100.0,IBM
2009-01-12,SELL,100.0,IBM
2009-01-13,BUY,100.0,IBM
2009-01-21,SELL,100.0,IBM
2009-01-23,BUY,100.0,IBM
2009-01-26,SELL,100.0,IBM
2009-01-28,SELL,100.0,IBM
2009-01-30,BUY,200.0,IBM
2009-02-03,SELL,100.0,IBM
2009-02-05,BUY,100.0,IBM
2009-02-06,SELL,100.0,IBM
2009-02-09,SELL,100.0,IBM
2009-02-10,BUY,100.0,IBM
2009-02-11,SELL,100.0,IBM
2009-02-18,BUY,100.0,IBM
2009-02-19,BUY,100.0,IBM
2009-02-23,SELL,200.0,IBM
2009-02-24,BUY,200.0,IBM
2009-02-27,SELL,200.0,IBM
2009-03-03,BUY,100.0,IBM
2009-03-04,SELL,100.0,IBM
2009-03-05,BUY,200.0,IBM
2009-03-23,SELL,200.0,IBM
2009-03-25,BUY,100.0,IBM
2009-03-26,SELL,100.0,IBM
2009-03-27,BUY,200.0,IBM
2009-04-02,SELL,100.0,IBM
2009-04-03,SELL,100.0,IBM
2009-04-07,BUY,200.0,IBM
